Date, Open, High, Low, Close, Volume
07/25/16, 198.00, 200.20, 197.70, 199.60, 1344130
07/22/16, 199.00, 200.00, 197.00, 197.00, 1099700
07/21/16, 200.00, 201.60, 199.70, 199.70, 2287080
07/20/16, 200.00, 200.00, 198.00, 200.00, 1697730
07/19/16, 200.00, 201.20, 199.80, 200.00, 1650840
07/18/16, 200.00, 200.80, 198.20, 200.00, 1696130
07/15/16, 200.00, 201.00, 199.70, 199.90, 1793810
07/14/16, 199.80, 200.00, 199.50, 199.70, 954610
07/13/16, 199.90, 201.00, 199.90, 200.00, 2041210
07/12/16, 203.80, 203.80, 199.70, 200.00, 3206270
07/11/16, 203.00, 204.00, 200.60, 201.40, 2105410
07/08/16, 199.70, 200.80, 199.70, 200.00, 987250
07/07/16, 201.00, 201.60, 198.80, 199.70, 3989000
07/05/16, 207.00, 207.00, 201.00, 201.80, 2162440
07/04/16, 207.40, 207.40, 204.80, 205.60, 2116610
07/01/16, 208.00, 208.60, 206.80, 207.40, 1625360
06/30/16, 208.60, 210.00, 206.00, 208.00, 2919600
06/29/16, 205.00, 208.80, 204.80, 208.60, 1700810
06/28/16, 204.60, 205.00, 203.80, 204.00, 1131360
06/27/16, 203.60, 206.60, 199.10, 205.80, 1203310
06/24/16, 205.60, 207.80, 203.00, 204.00, 2229850
06/23/16, 206.00, 206.20, 205.00, 205.60, 1589160
06/22/16, 201.80, 206.60, 201.80, 206.60, 1134020
06/21/16, 205.00, 207.00, 204.80, 205.60, 1014340
06/20/16, 207.00, 207.00, 203.20, 204.60, 1167660
06/17/16, 201.00, 208.00, 201.00, 207.00, 2105430
06/16/16, 197.10, 200.40, 197.00, 200.40, 813370
06/15/16, 196.40, 198.30, 194.40, 197.30, 1749630
06/14/16, 194.00, 194.50, 193.00, 194.00, 2004610
06/13/16, 193.20, 198.10, 193.10, 194.10, 2560770
06/10/16, 199.00, 201.00, 193.00, 193.10, 1498720
06/09/16, 201.00, 201.20, 199.20, 199.50, 900700
06/08/16, 202.00, 203.20, 201.20, 202.60, 1454010
